terrainID,position,direction,average_power,power_group
aa48,0,6,58.11732,0
aa15,3,6,61.06151,0
aa47,4,9,7.683227,0
aa47,4,8,28.61356,0
aa15,4,10,9.137091,0
aa15,4,11,42.9757,0
aa47,4,28,30.71147,0
aa47,4,26,6.361718,0
aa47,4,25,23.39911,0
aa47,4,24,47.07397,0
aa15,4,24,30.89399,0
aa15,4,26,36.42566,0
aa15,4,27,10.46022,0
aa15,4,28,30.49378,0
aa47,4,12,32.88654,0
aa48,4,10,17.96498,0
aa48,4,11,13.3852,0
aa48,4,12,62.51724,0
aa14,4,6,35.46101,0
aa49,4,11,49.12984,0
aa49,4,10,8.122108,0
aa13,4,9,63.01028,0
aa49,3,6,55.95137,0
aa49,2,3,65.93565,0
aa14,1,3,57.58886,0
aa49,1,3,52.69772,0
aa14,3,6,62.37352,0
aa14,4,10,17.68509,0
aa48,4,8,12.81579,0
aa48,4,7,37.68474,0
aa47,4,11,14.0201,0
aa14,4,23,62.23666,0
aa14,4,26,32.88044,0
aa14,4,27,7.608474,0
aa14,4,28,32.40821,0
aa48,4,29,64.2796,0
aa48,4,28,16.38309,0
aa48,4,27,16.87674,0
aa48,4,26,63.38239,0
aa48,4,25,10.65748,0
aa48,4,24,33.56859,0
aa48,4,23,60.90046,0
aa14,4,5,60.7129,0
aa14,4,24,30.99661,0
aa13,4,8,13.80882,0
aa47,4,10,59.82639,0
aa15,4,6,57.06213,0
aa18,0,6,44.64347,0
aa18,1,3,70.21191,0
aa46,1,3,63.22546,0
aa18,2,3,44.24318,0
aa46,0,6,68.61387,0
aa18,3,6,65.79967,0
aa18,4,10,12.84007,0
aa45,4,9,8.974527,0
aa45,4,8,41.27642,0
aa45,4,6,45.43776,0
aa18,4,23,50.10639,0
aa18,4,25,60.59168,0
aa18,4,26,14.72852,0
aa18,4,27,15.69133,0
aa45,4,27,31.77477,0
aa45,4,26,10.63298,0
aa45,4,25,46.80081,0
aa45,4,23,42.24447,0
aa18,4,6,54.26984,0
aa18,4,7,21.85337,0
aa18,4,8,68.27933,0
aa18,4,9,16.8194,0
aa45,4,10,27.08668,0
aa46,2,3,58.09668,0
aa46,3,6,46.97813,0
aa16,4,9,13.86917,0
aa16,4,8,56.48024,0
aa15,4,7,26.74068,0
aa47,2,3,55.12356,0
aa15,4,9,26.4205,0
aa16,0,5,64.4999,0
aa47,1,3,60.84258,0
aa16,0,6,37.43496,0
aa47,0,6,53.89405,0
aa16,2,2,69.65831,0
aa16,2,3,35.98758,0
aa46,4,9,57.61877,0
aa46,4,7,41.52206,0
aa47,3,6,53.82671,0
aa16,4,10,21.15834,0
aa46,4,28,15.52953,0
aa46,4,27,12.43351,0
aa46,4,26,60.9467,0
aa46,4,25,14.14803,0
aa46,4,24,38.36346,0
aa16,4,25,24.57095,0
aa16,4,26,7.613567,0
aa16,4,27,38.43881,0
aa16,4,6,55.37532,0
aa46,4,11,28.64314,0
aa46,4,10,10.70174,0
aa46,4,29,64.99984,0
aa13,4,7,38.74038,0
aa49,4,23,59.12938,0
aa49,4,24,30.41434,0
aa4c,4,24,41.42802,0
aa10,4,27,15.71094,0
aa10,4,6,61.8529,0
aa10,4,7,29.03898,0
aa4c,4,12,53.16277,0
aa4c,4,11,13.98941,0
aa4c,4,10,39.74959,0
aa10,4,9,24.52776,0
aa4c,3,6,35.99721,0
aa4c,3,5,68.90582,0
aa11,1,3,41.41027,0
aa4c,1,3,46.4759,0
aa11,3,6,58.17673,0
aa11,4,10,9.278778,0
aa11,4,11,52.50265,0
aa4b,4,8,25.8623,0
aa4b,4,7,57.51808,0
aa11,4,23,52.92042,0
aa11,4,24,24.82158,0
aa11,4,26,22.37757,0
aa11,4,27,4.781112,0
aa11,4,28,25.89814,0
aa4b,4,29,33.64919,0
aa4c,4,25,16.66814,0
aa4c,4,27,30.45532,0
aa4c,4,28,16.43439,0
aa4c,4,29,57.07332,0
aa0z,4,28,64.80033,0
aa4d,4,28,33.39441,0
aa4d,4,27,8.85455,0
aa4d,4,26,42.3969,0
aa4d,4,24,34.47264,0
aa0z,4,6,52.79985,0
aa0z,4,8,51.11852,0
aa0z,4,9,16.40417,0
aa4d,4,11,22.29806,0
aa4d,4,10,14.05795,0
aa10,0,6,66.53359,0
aa4b,4,28,13.37354,0
aa4d,3,6,54.07209,0
aa4d,1,3,67.93335,0
aa10,2,3,52.93418,0
aa10,4,10,6.573201,0
aa10,4,11,41.23329,0
aa4d,0,6,67.89235,0
aa4c,4,8,24.74425,0
aa4c,4,7,46.48104,0
aa4c,4,6,68.19859,0
aa10,4,23,41.69453,0
aa10,4,25,53.43715,0
aa10,4,26,10.49269,0
aa10,1,3,49.94672,0
aa4b,4,27,47.55622,0
aa4b,4,25,17.82643,0
aa4b,4,24,44.29228,0
aa12,4,8,38.37949,0
aa12,4,9,9.754347,0
aa4a,4,10,14.79722,0
aa13,0,6,63.90408,0
aa4a,3,6,67.79404,0
aa13,1,3,67.95142,0
aa4a,2,3,45.88564,0
aa13,2,3,63.24604,0
aa13,3,6,67.29947,0
aa13,4,10,12.61379,0
aa13,4,11,16.67534,0
aa12,4,6,34.19188,0
aa13,4,12,67.66145,0
aa49,4,9,25.56409,0
aa49,4,7,28.15262,0
aa49,4,6,58.68777,0
aa13,4,24,41.85314,0
aa13,4,25,15.77927,0
aa13,4,27,22.07236,0
aa13,4,28,10.10783,0
aa13,4,29,44.23656,0
aa49,4,28,40.55,0
aa49,4,27,7.013153,0
aa49,4,26,24.69763,0
aa4a,0,6,46.94933,0
aa1p,4,26,45.93456,0
aa12,4,5,61.48507,0
aa4a,4,25,62.95145,0
aa11,4,6,65.42628,0
aa11,4,7,29.71155,0
aa4b,4,12,41.54609,0
aa4b,4,11,7.803988,0
aa4b,4,10,33.367,0
aa11,4,9,22.87527,0
aa4b,3,6,54.92217,0
aa12,0,6,55.86094,0
aa4b,2,3,68.49018,0
aa12,1,3,68.66168,0
aa4b,1,3,62.79232,0
aa4a,4,23,51.15903,0
aa12,2,3,42.19752,0
aa12,4,10,23.26641,0
aa4a,4,9,14.8184,0
aa4a,4,6,50.40229,0
aa12,4,23,56.74314,0
aa12,4,25,69.82886,0
